cache_index,dataset,reference,path,scaled_subjective_score,prediction
0,clive,clive/100,/home/sergey/iqa-data/clive/LIVEC/Images/100.bmp,0.3273838450946076,1.4161498546600342
1,clive,clive/101,/home/sergey/iqa-data/clive/LIVEC/Images/101.bmp,0.7070909837093696,3.6988141536712646
2,clive,clive/102,/home/sergey/iqa-data/clive/LIVEC/Images/102.bmp,0.4637015960824973,2.1707324981689453
3,clive,clive/103,/home/sergey/iqa-data/clive/LIVEC/Images/103.bmp,0.4023567359343583,2.116544008255005
4,clive,clive/104,/home/sergey/iqa-data/clive/LIVEC/Images/104.bmp,0.0652617274999201,1.0032501220703125
5,clive,clive/105,/home/sergey/iqa-data/clive/LIVEC/Images/105.bmp,0.4259130407121735,1.8484454154968262
6,clive,clive/106,/home/sergey/iqa-data/clive/LIVEC/Images/106.bmp,0.7358795572250552,4.809842109680176
7,clive,clive/107,/home/sergey/iqa-data/clive/LIVEC/Images/107.bmp,0.2756656044919034,1.02975332736969
8,clive,clive/108,/home/sergey/iqa-data/clive/LIVEC/Images/108.bmp,0.8081107424311115,4.573188781738281
9,clive,clive/109,/home/sergey/iqa-data/clive/LIVEC/Images/109.bmp,0.5304673094117794,2.895468235015869
10,clive,clive/10,/home/sergey/iqa-data/clive/LIVEC/Images/10.bmp,0.8930341589844136,4.994016170501709
11,clive,clive/110,/home/sergey/iqa-data/clive/LIVEC/Images/110.bmp,0.322618523724751,1.4766504764556885
12,clive,clive/111,/home/sergey/iqa-data/clive/LIVEC/Images/111.bmp,0.5439890779401325,2.6147232055664062
13,clive,clive/112,/home/sergey/iqa-data/clive/LIVEC/Images/112.bmp,0.3021925617329499,1.175621747970581
14,clive,clive/113,/home/sergey/iqa-data/clive/LIVEC/Images/113.bmp,0.7279600201859163,3.269118070602417
15,clive,clive/114,/home/sergey/iqa-data/clive/LIVEC/Images/114.bmp,0.2409916126871157,1.0111666917800903
16,clive,clive/115,/home/sergey/iqa-data/clive/LIVEC/Images/115.bmp,0.313146543547381,1.1013565063476562
17,clive,clive/116,/home/sergey/iqa-data/clive/LIVEC/Images/116.bmp,0.2547714151980702,2.0785248279571533
18,clive,clive/117,/home/sergey/iqa-data/clive/LIVEC/Images/117.bmp,0.7528511231736696,3.1994426250457764
19,clive,clive/118,/home/sergey/iqa-data/clive/LIVEC/Images/118.bmp,0.2596377621902195,1.5738064050674438
20,clive,clive/119,/home/sergey/iqa-data/clive/LIVEC/Images/119.bmp,0.5380970952543876,2.587514877319336
21,clive,clive/11,/home/sergey/iqa-data/clive/LIVEC/Images/11.bmp,0.6462872393621679,3.114622116088867
22,clive,clive/120,/home/sergey/iqa-data/clive/LIVEC/Images/120.bmp,0.172615960680582,1.3662536144256592
23,clive,clive/121,/home/sergey/iqa-data/clive/LIVEC/Images/121.bmp,0.1834585076666786,1.070070505142212
24,clive,clive/122,/home/sergey/iqa-data/clive/LIVEC/Images/122.bmp,0.8532234866857549,4.9986395835876465
25,clive,clive/123,/home/sergey/iqa-data/clive/LIVEC/Images/123.bmp,0.7176311820843887,3.1821627616882324
26,clive,clive/124,/home/sergey/iqa-data/clive/LIVEC/Images/124.bmp,0.7591631525110307,4.42132568359375
27,clive,clive/125,/home/sergey/iqa-data/clive/LIVEC/Images/125.bmp,0.8817358296851556,4.998258590698242
28,clive,clive/126,/home/sergey/iqa-data/clive/LIVEC/Images/126.bmp,0.5552402995031953,2.699667453765869
29,clive,clive/127,/home/sergey/iqa-data/clive/LIVEC/Images/127.bmp,0.4269864826896732,1.4467052221298218
30,clive,clive/128,/home/sergey/iqa-data/clive/LIVEC/Images/128.bmp,0.5099726861208843,1.3102840185165405
31,clive,clive/129,/home/sergey/iqa-data/clive/LIVEC/Images/129.bmp,0.7803747641336342,4.964766502380371
32,clive,clive/12,/home/sergey/iqa-data/clive/LIVEC/Images/12.bmp,0.1401523921456754,1.0008633136749268
33,clive,clive/130,/home/sergey/iqa-data/clive/LIVEC/Images/130.bmp,0.9345789319709332,4.991558074951172
34,clive,clive/131,/home/sergey/iqa-data/clive/LIVEC/Images/131.bmp,0.5067749994092212,2.245992422103882
35,clive,clive/132,/home/sergey/iqa-data/clive/LIVEC/Images/132.bmp,0.7819838196281045,3.2723591327667236
36,clive,clive/133,/home/sergey/iqa-data/clive/LIVEC/Images/133.bmp,0.2649724399944768,2.2468607425689697
37,clive,clive/134,/home/sergey/iqa-data/clive/LIVEC/Images/134.bmp,0.3245517922015389,1.0830491781234741
38,clive,clive/135,/home/sergey/iqa-data/clive/LIVEC/Images/135.bmp,0.702411342645803,3.0937159061431885
39,clive,clive/136,/home/sergey/iqa-data/clive/LIVEC/Images/136.bmp,0.7161190827513708,3.690328359603882
40,clive,clive/137,/home/sergey/iqa-data/clive/LIVEC/Images/137.bmp,0.633871110287275,2.985318899154663
41,clive,clive/138,/home/sergey/iqa-data/clive/LIVEC/Images/138.bmp,0.720880225657741,4.0433855056762695
42,clive,clive/139,/home/sergey/iqa-data/clive/LIVEC/Images/139.bmp,0.6573114023266985,2.826202630996704
43,clive,clive/13,/home/sergey/iqa-data/clive/LIVEC/Images/13.bmp,0.8311501617193306,4.754296779632568
44,clive,clive/140,/home/sergey/iqa-data/clive/LIVEC/Images/140.bmp,0.8317796781054158,4.986394882202148
45,clive,clive/141,/home/sergey/iqa-data/clive/LIVEC/Images/141.bmp,0.1928035243406758,1.0361942052841187
46,clive,clive/142,/home/sergey/iqa-data/clive/LIVEC/Images/142.bmp,0.2582317722296264,1.0592726469039917
47,clive,clive/143,/home/sergey/iqa-data/clive/LIVEC/Images/143.bmp,0.6485587924896689,3.4891912937164307
48,clive,clive/144,/home/sergey/iqa-data/clive/LIVEC/Images/144.bmp,0.8257757620709024,4.770952224731445
49,clive,clive/145,/home/sergey/iqa-data/clive/LIVEC/Images/145.bmp,0.5861279271339653,3.616661548614502
50,clive,clive/146,/home/sergey/iqa-data/clive/LIVEC/Images/146.bmp,0.3459218588417611,1.0797181129455566
51,clive,clive/147,/home/sergey/iqa-data/clive/LIVEC/Images/147.bmp,0.7628565744502651,4.031468868255615
52,clive,clive/148,/home/sergey/iqa-data/clive/LIVEC/Images/148.bmp,0.4330964446987482,2.1685330867767334
53,clive,clive/149,/home/sergey/iqa-data/clive/LIVEC/Images/149.bmp,0.7755974871161706,3.7816953659057617
54,clive,clive/14,/home/sergey/iqa-data/clive/LIVEC/Images/14.bmp,0.7074793414057111,3.6202592849731445
55,clive,clive/150,/home/sergey/iqa-data/clive/LIVEC/Images/150.bmp,0.7007618244293624,3.68863582611084
56,clive,clive/151,/home/sergey/iqa-data/clive/LIVEC/Images/151.bmp,0.5882268528319653,3.021733045578003
57,clive,clive/152,/home/sergey/iqa-data/clive/LIVEC/Images/152.bmp,0.8540186744417012,4.989333152770996
58,clive,clive/153,/home/sergey/iqa-data/clive/LIVEC/Images/153.bmp,0.7826823344223894,4.645084381103516
59,clive,clive/154,/home/sergey/iqa-data/clive/LIVEC/Images/154.bmp,0.0961347616939379,1.0011998414993286
60,clive,clive/155,/home/sergey/iqa-data/clive/LIVEC/Images/155.bmp,0.7888721812508392,3.825571060180664
61,clive,clive/156,/home/sergey/iqa-data/clive/LIVEC/Images/156.bmp,0.2819039439332439,1.1014838218688965
62,clive,clive/157,/home/sergey/iqa-data/clive/LIVEC/Images/157.bmp,0.1583970505922348,1.0083590745925903
63,clive,clive/158,/home/sergey/iqa-data/clive/LIVEC/Images/158.bmp,0.8537804687268027,3.966708183288574
64,clive,clive/159,/home/sergey/iqa-data/clive/LIVEC/Images/159.bmp,0.7910672104105205,4.615427017211914
65,clive,clive/15,/home/sergey/iqa-data/clive/LIVEC/Images/15.bmp,0.5951893217230529,2.444852352142334
66,clive,clive/160,/home/sergey/iqa-data/clive/LIVEC/Images/160.bmp,0.4260895047122499,1.9953937530517578
67,clive,clive/161,/home/sergey/iqa-data/clive/LIVEC/Images/161.bmp,0.0542268234618725,1.00249445438385
68,clive,clive/162,/home/sergey/iqa-data/clive/LIVEC/Images/162.bmp,0.755151392473054,4.211576461791992
69,clive,clive/163,/home/sergey/iqa-data/clive/LIVEC/Images/163.bmp,0.482513027372104,2.4103140830993652
